Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
19,19,,3,3,36,0.05413,0.062346,29072.561992,0,0,9,0.000247,0,0,0,0.022818
20,20,,2,2,35,0.05714,0.066427,33687.242944,0,0,9,0.000161,0,0,0,0.02242
21,21,,2,2,40,0.046537,0.052232,7974.062161,0,0,9,0.00018,0,0,0,0.016102
22,22,,1,1,34,0.056799,0.066134,0,0,0,8,0.000096,0,0,0,0.014929
23,23,,1,1,36,0.052127,0.061054,0,0,0,8,0.00009,0,0,0,0.019562
24,24,,2,2,35,0.054424,0.063933,6562.253687,0,0,8,0.000166,0,0,0,0.027034
25,25,,2,2,37,0.051748,0.05918,1610.211262,0,0,0,0.000164,0,0,0,0.01978
26,26,,4,4,35,0.058123,0.069174,6422.526121,0,0,0,0.00027,0,0.333333,2,0.064054
27,27,,2,2,41,0.044343,0.04889,1920.437839,0,0,9,0.000191,0,0,0,0.013339
28,28,,1,1,34,0.05855,0.069037,0,0,0,8,0.00009,0,0,0,0.027906
29,29,,3,3,38,0.048963,0.05556,14153.235078,0,0,9,0.00027,0,0,0,0.026921
30,30,,2,2,35,0.058523,0.068635,0,0,0,0,0.000146,0,1,1,0.042823
31,31,,2,2,38,0.051649,0.0594,2084.467749,0,0,0,0.000165,0,0,0,0.018972
32,32,,2,2,37,0.053094,0.061556,707.768627,0,0,0,0.000159,0,0,0,0.021711
33,33,,1,1,35,0.059224,0.067611,0,0,0,0,0.000101,0,0,0,0.010332
34,34,,3,3,34,0.062952,0.073851,14201.730288,0,0,0,0.00025,0,0,0,0.032119
35,35,,5,5,33,0.067163,0.081394,283877.006765,0,0,0,0.000343,0,0.1,1,0.08105
36,36,,6,6,34,0.063657,0.076947,214288.999073,0,0,0,0.000455,0,0,0,0.073203
37,37,,1,1,35,0.059848,0.069733,0,0,0,0,0.000095,0,0,0,0.019257
38,38,,1,1,35,0.059848,0.069733,0,0,0,0,0.000095,0,0,0,0.019257
39,39,,1,1,35,0.059848,0.069733,0,0,0,0,0.000095,0,0,0,0.019257
40,40,,2,2,36,0.056877,0.065692,1868.86978,0,0,0,0.000179,0,0,0,0.014965
41,41,,5,5,35,0.055554,0.066055,80608.643261,0,0,0,0.00035,0,0.1,1,0.055375
42,42,,3,3,34,0.058671,0.070407,81316.434037,0,0,0,0.000213,0,0,0,0.052138
43,43,,2,2,35,0.05595,0.066035,9154.812095,0,0,0,0.000157,0,0,0,0.033338
44,44,,1,1,36,0.057408,0.067248,0,0,0,0,0.000096,0,0,0,0.015512
45,45,,1,1,36,0.057408,0.067248,0,0,0,0,0.000096,0,0,0,0.015512
46,46,,2,2,36,0.058411,0.070411,28632.918051,0,0,10,0.000154,0,0,0,0.03748
47,47,,5,5,35,0.060904,0.073917,85867.790023,0,0,0,0.000384,0,0,0,0.054136
48,48,,3,3,35,0.056117,0.064734,7554.194921,0,0,0,0.000233,0,0,0,0.028296
49,49,,1,1,33,0.059995,0.071242,0,0,0,8,0.000089,0,0,0,0.032838
50,50,,3,3,33,0.061854,0.073816,6078.332268,0,0,0,0.000201,0,0,0,0.060282
51,51,,3,3,39,0.048804,0.055706,19473.610634,0,0,9,0.000245,0,0,0,0.025244
52,52,,3,3,38,0.050122,0.057217,400.64453,0,0,9,0.000212,0,0,0,0.036595
53,53,,2,2,36,0.051787,0.059802,2240.838678,0,0,8,0.000172,0,0,0,0.015986
54,54,,2,2,39,0.048224,0.0542,6404.685747,0,0,9,0.000188,0,0,0,0.014628
55,55,,2,2,37,0.05221,0.05943,733.527835,0,0,9,0.000164,0,0,0,0.030776
56,56,,5,5,37,0.053234,0.061708,12719.495599,0,0,9,0.000323,0,0.3,3,0.065699
57,57,,2,2,34,0.058961,0.071775,13800.120803,0,0,8,0.00015,0,0,0,0.053675
58,58,,4,4,36,0.053556,0.062355,8645.580936,0,0,0,0.000292,0,0.166667,1,0.040565
59,59,,2,2,37,0.052721,0.060778,2513.906064,0,0,0,0.000159,0,0,0,0.021988
60,60,,2,2,37,0.053814,0.062262,4190.162692,0,0,0,0.000158,0,0,0,0.03017
61,61,,3,3,34,0.058241,0.067694,4944.833333,0,0,0,0.000239,0,0,0,0.035929
62,62,,2,2,37,0.053652,0.061746,4684.590969,0,0,0,0.00016,0,0,0,0.029681
63,63,,1,1,34,0.063535,0.073689,0,0,0,10,0.000096,0,0,0,0.019608
64,64,,1,1,34,0.063535,0.073689,0,0,0,10,0.000096,0,0,0,0.019608
65,65,,1,1,34,0.063535,0.073689,0,0,0,10,0.000096,0,0,0,0.019608
66,66,,1,1,33,0.066876,0.078794,0,0,0,10,0.000087,0,0,0,0.028221
67,67,,1,1,32,0.067666,0.078857,0,0,0,10,0.000093,0,0,0,0.013104
68,68,,6,6,33,0.067845,0.081513,730346.13201,0,0,10,0.00046,0,0,0,0.075257
69,69,,7,7,32,0.071668,0.088167,2246182.132117,0,0,10,0.000465,0,0,0,0.125665
70,70,,3,3,31,0.072576,0.08756,1803808.688983,0,0,10,0.000221,0,0,0,0.05144
71,71,,2,2,39,0.047353,0.053241,340.234921,0,0,0,0.000169,0,0,0,0.018787
72,72,,3,3,35,0.056101,0.065964,9779.693096,0,0,8,0.000217,0,0.333333,1,0.030586
73,73,,3,3,36,0.053423,0.062789,5635.697786,0,0,8,0.000222,0,0,0,0.029848
74,74,,1,1,34,0.05855,0.069037,0,0,0,8,0.00009,0,0,0,0.027906
75,75,,2,2,34,0.058268,0.067913,10690.640664,0,0,0,0.000157,0,0,0,0.029892
76,76,,4,4,37,0.052291,0.060662,18147.693034,0,0,0,0.00029,0,0.166667,1,0.037652
77,77,,3,3,36,0.055151,0.065035,24259.34585,0,0,0,0.000215,0,0,0,0.036121
78,78,,2,2,37,0.05322,0.060759,15948.447904,0,0,9,0.000181,0,0,0,0.014594
79,79,,2,2,36,0.056174,0.065256,20831.281237,0,0,9,0.000167,0,0,0,0.021899
80,80,,4,4,35,0.059489,0.071029,59204.690196,0,0,9,0.00028,0,0,0,0.055649
81,81,,2,2,34,0.057947,0.069362,301.915801,0,0,8,0.000157,0,0,0,0.036176
82,82,,2,2,34,0.05874,0.070203,1335.844941,0,0,8,0.000156,0,0,0,0.037867
83,83,,3,3,37,0.050124,0.057971,36068.584523,0,0,0,0.000248,0,0,0,0.033887
84,84,,2,2,35,0.054676,0.06488,0,0,0,8,0.000152,0,1,1,0.039642
85,85,,2,2,33,0.060164,0.072194,9091.971326,0,0,0,0.000159,0,0,0,0.040988
86,86,,3,3,38,0.049699,0.056634,5264.568254,0,0,0,0.000231,0,0.333333,1,0.027916
87,87,,2,2,37,0.05221,0.05943,4939,0,0,9,0.000187,0,0,0,0.02793
88,88,,8,8,36,0.055085,0.06456,42842.134638,0,0,9,0.000594,0,0,0,0.085969
89,89,,1,1,38,0.04962,0.055363,0,0,0,9,0.00011,0,0,0,0.009008
90,90,,1,1,37,0.052209,0.059295,0,0,0,9,0.000093,0,0,0,0.02301
91,91,,3,3,36,0.053006,0.063407,9193.287657,0,0,8,0.000211,0,0,0,0.04327
92,92,,3,3,35,0.058067,0.06934,25326.529892,0,0,0,0.000209,0,0,0,0.052149
93,93,,1,1,35,0.055932,0.065584,0,0,0,0,0.000087,0,0,0,0.021869
94,94,,7,7,34,0.059245,0.072128,51885.967422,0,0,0,0.000466,0,0.047619,1,0.085939
95,95,,3,3,33,0.062717,0.07671,147577.066954,0,0,5,0.000209,0,0,0,0.057749
96,96,,2,2,39,0.048535,0.05445,50.371429,0,0,9,0.00016,0,0,0,0.018079
97,97,,2,2,35,0.059416,0.068423,4700.034683,0,0,0,0.000177,0,0,0,0.017164
98,98,,9,9,33,0.06219,0.076546,139579.540445,0,0,8,0.000629,0,0,0,0.115349
99,99,,2,2,33,0.060138,0.071714,6938.188157,0,0,8,0.000166,0,0,0,0.025744
100,100,,2,2,34,0.058879,0.070756,5475.951241,0,0,8,0.00016,0,0,0,0.035985
101,101,,3,3,36,0.055632,0.064831,20699.34816,0,0,0,0.000237,0,0,0,0.038139
102,102,,1,1,35,0.058504,0.068194,0,0,0,0,0.000086,0,0,0,0.024974
103,103,,3,3,37,0.053722,0.062413,25383.968574,0,0,9,0.000226,0,0,0,0.040923
104,104,,3,3,37,0.052192,0.060411,4738.635005,0,0,0,0.000237,0,0,0,0.027084
105,105,,3,3,34,0.064077,0.07712,153421.098611,0,0,10,0.000211,0,0,0,0.064299
106,106,,2,2,36,0.055294,0.063442,856.182287,0,0,0,0.000162,0,0,0,0.0193
107,107,,2,2,36,0.053025,0.059994,1562.859524,0,0,9,0.000166,0,0,0,0.021458
108,108,,4,4,30,0.074217,0.090748,2164351.965358,0,0,5,0.000258,0,0.166667,1,0.076188
109,109,,2,2,38,0.05057,0.057086,11101.031237,0,0,9,0.000187,0,0,0,0.013587
110,110,,2,2,38,0.049696,0.056445,0,0,0,0,0.000158,0,1,1,0.022126
111,111,,4,4,38,0.050959,0.058196,5749.612882,0,0,9,0.000283,0,0,0,0.039913
112,112,,3,3,34,0.059297,0.070724,28914.012288,0,0,8,0.000215,0,0.333333,1,0.032788
113,113,,3,3,33,0.062993,0.077156,401015.523674,0,0,8,0.000214,0,0,0,0.044667
114,114,,1,1,34,0.058216,0.067,0,0,0,0,0.000105,0,0,0,0.009572
115,115,,2,2,33,0.061813,0.073194,4939,0,0,0,0.000175,0,0,0,0.033859
116,116,,5,5,31,0.06986,0.085328,74330.978784,0,0,5,0.000344,0,0.1,1,0.072209
117,117,,1,1,32,0.065299,0.076804,0,0,0,5,0.000089,0,0,0,0.017803
118,118,,1,1,32,0.065299,0.076804,0,0,0,5,0.000089,0,0,0,0.017803
119,119,,4,4,38,0.050606,0.057954,3093.336076,0,0,9,0.000267,0,0.166667,1,0.048719
120,120,,2,2,40,0.046568,0.052573,2750.84195,0,0,9,0.000175,0,0,0,0.017448
121,121,,1,1,37,0.052685,0.059585,0,0,0,0,0.000107,0,0,0,0.007985
122,122,,2,2,36,0.055615,0.064321,4939,0,0,0,0.000181,0,0,0,0.022631
123,123,,5,5,35,0.058888,0.070215,35973.146537,0,0,0,0.000351,0,0.1,1,0.069434
124,124,,4,4,37,0.054019,0.063571,38945.370842,0,0,0,0.00028,0,0,0,0.053915
125,125,,3,3,34,0.058655,0.070075,2471.453354,0,0,0,0.000218,0,0,0,0.047444
126,126,,1,1,33,0.062423,0.074396,0,0,0,5,0.000091,0,0,0,0.023683
127,127,,1,1,33,0.062423,0.074396,0,0,0,5,0.000091,0,0,0,0.023683
128,128,,1,1,33,0.062423,0.074396,0,0,0,5,0.000091,0,0,0,0.023683
129,129,,8,8,32,0.066579,0.082831,571883.779845,0,0,5,0.000575,0,0,0,0.093021
130,130,,2,2,37,0.051384,0.058416,18668.007012,0,0,9,0.000177,0,0,0,0.018739
131,131,,3,3,35,0.058122,0.069073,1483.526121,0,0,0,0.000197,0,0.666667,2,0.059529
132,132,,1,1,35,0.054419,0.063702,0,0,0,8,0.000093,0,0,0,0.020081
133,133,,1,1,34,0.057113,0.067547,0,0,0,8,0.00009,0,0,0,0.025769
134,134,,2,2,36,0.052506,0.06,3112.120774,0,0,0,0.00018,0,0,0,0.016018
135,135,,2,2,34,0.058562,0.069357,17682.048551,0,0,0,0.000166,0,0,0,0.036725
136,136,,2,2,38,0.051245,0.05861,1834.491422,0,0,0,0.000168,0,0,0,0.016987
137,137,,3,3,38,0.049516,0.056038,9557.265079,0,0,0,0.000244,0,0,0,0.025505
138,138,,6,6,33,0.063709,0.077635,111583.645104,0,0,0,0.000387,0,0.066667,1,0.110786
139,139,,5,5,34,0.060837,0.072723,13330.454935,0,0,0,0.000311,0,0.2,2,0.095111
140,140,,7,7,34,0.062139,0.075227,78378.195184,0,0,0,0.000457,0,0.095238,2,0.106334
141,141,,3,3,34,0.063331,0.075562,54051.575773,0,0,0,0.000207,0,0.333333,1,0.054217
142,142,,2,2,34,0.063015,0.074128,0,0,0,0,0.000147,0,1,1,0.033414
143,143,,4,4,34,0.060214,0.072033,22375.232061,0,0,0,0.000309,0,0,0,0.048323
144,144,,2,2,38,0.050895,0.057383,4672.537325,0,0,9,0.000162,0,0,0,0.017281
145,145,,3,3,38,0.051125,0.058712,16764.571173,0,0,9,0.000233,0,0,0,0.029968
146,146,,2,2,37,0.053685,0.061908,5164.063493,0,0,0,0.00016,0,0,0,0.030426
147,147,,2,2,40,0.046269,0.052318,3864.116943,0,0,9,0.000184,0,0,0,0.021022
148,148,,3,3,39,0.048799,0.055451,443.101564,0,0,9,0.000215,0,0,0,0.033906
149,149,,2,2,37,0.053214,0.061211,0,0,0,9,0.000141,0,1,1,0.038529
150,150,,3,3,34,0.060002,0.071296,28020.676187,0,0,0,0.000212,0,0,0,0.044401
151,151,,2,2,34,0.058936,0.06996,6589.390204,0,0,0,0.000164,0,0,0,0.024191
152,152,,2,2,37,0.053214,0.061211,0,0,0,9,0.000141,0,1,1,0.038529
153,153,,7,7,36,0.056726,0.067473,83131.85013,0,0,0,0.000483,0,0.047619,1,0.092899
154,154,,7,7,36,0.056668,0.067006,33897.37309,0,0,0,0.00049,0,0.047619,1,0.086664
155,155,,2,2,37,0.053955,0.062468,1990.825502,0,0,0,0.000158,0,0,0,0.03013
156,156,,2,2,37,0.053999,0.06277,2325.875502,0,0,0,0.000156,0,0,0,0.031267
157,157,,4,4,35,0.059975,0.071575,153026.091593,0,0,0,0.000278,0,0.166667,1,0.073638
158,158,,1,1,37,0.053681,0.061685,0,0,0,0,0.000089,0,0,0,0.023351
159,159,,1,1,37,0.053629,0.061366,0,0,0,0,0.00009,0,0,0,0.022229
160,160,,1,1,39,0.046678,0.051918,0,0,0,9,0.000107,0,0,0,0.009748
161,161,,2,2,40,0.04639,0.051616,6833.937839,0,0,9,0.000186,0,0,0,0.013825
162,162,,2,2,37,0.051521,0.058821,4939,0,0,0,0.000197,0,0,0,0.016156
163,163,,4,4,36,0.054317,0.063507,15096.577771,0,0,0,0.000329,0,0,0,0.033414
164,164,,1,1,37,0.05152,0.058686,0,0,0,0,0.0001,0,0,0,0.011469
165,165,,1,1,38,0.048997,0.054893,0,0,0,0,0.000114,0,0,0,0.007096
166,166,,2,2,42,0.042588,0.046841,24.5,0,0,9,0.000191,0,0,0,0.013332
167,167,,2,2,36,0.052638,0.06089,0,0,0,0,0.000152,0,1,1,0.028542
168,168,,2,2,36,0.054927,0.063768,24221.098413,0,0,0,0.000158,0,0,0,0.022303
169,169,,3,3,36,0.054949,0.064094,33268.642863,0,0,0,0.000227,0,0,0,0.031953
170,170,,4,4,35,0.05811,0.069192,88003.966472,0,0,0,0.000284,0,0,0,0.042153
171,171,,3,3,34,0.061598,0.074526,132352.13756,0,0,0,0.000215,0,0,0,0.043078
172,172,,2,2,37,0.052265,0.059874,3559.751711,0,0,9,0.000154,0,0,0,0.03418
173,173,,2,2,37,0.053823,0.0624,126.141667,0,0,0,0.000149,0,0,0,0.036917
174,174,,4,4,36,0.05496,0.064689,15206.435494,0,0,0,0.000292,0,0,0,0.039312
175,175,,2,2,38,0.050569,0.057426,0,0,0,9,0.000142,0,1,1,0.031223
176,176,,2,2,41,0.04447,0.049325,3042.062161,0,0,9,0.000188,0,0,0,0.013745
177,177,,3,3,34,0.058556,0.068235,42795.196326,0,0,9,0.000245,0,0,0,0.027622
178,178,,3,3,35,0.055992,0.064758,35069.959875,0,0,9,0.000233,0,0,0,0.040472
179,179,,3,3,33,0.062164,0.073868,128624.414097,0,0,9,0.000224,0,0,0,0.032597
180,180,,1,1,35,0.055318,0.062885,0,0,0,9,0.0001,0,0,0,0.009696
181,181,,2,2,35,0.056852,0.066894,2261.318382,0,0,0,0.000151,0,0,0,0.025894
182,182,,1,1,36,0.057478,0.067314,0,0,0,10,0.000089,0,0,0,0.021968
183,183,,1,1,36,0.057478,0.067314,0,0,0,10,0.000089,0,0,0,0.021968
184,184,,7,7,35,0.060982,0.074278,157781.61285,0,0,10,0.000481,0,0,0,0.086703
185,185,,2,2,38,0.049722,0.056776,243.127778,0,0,0,0.000157,0,0,0,0.023966
186,186,,2,2,35,0.058509,0.068406,4326.14603,0,0,0,0.000155,0,0,0,0.032443
187,187,,4,4,37,0.052124,0.060083,18941.270641,0,0,0,0.000306,0,0,0,0.034153
188,188,,2,2,33,0.061815,0.073245,4912.890476,0,0,0,0.000154,0,0,0,0.039796
189,189,,2,2,37,0.053116,0.061716,1021.127089,0,0,0,0.000159,0,0,0,0.021857
190,190,,2,2,38,0.051118,0.058489,1529.528105,0,0,9,0.000167,0,0,0,0.019055
191,191,,3,3,35,0.056759,0.066578,19205.63871,0,0,0,0.000221,0,0,0,0.034884
192,192,,3,3,37,0.053616,0.061563,20010.923051,0,0,9,0.000224,0,0,0,0.028673
193,193,,2,2,36,0.056616,0.065842,24876.123051,0,0,9,0.000153,0,0,0,0.027979
194,194,,3,3,38,0.05128,0.05932,25299.443967,0,0,9,0.000225,0,0,0,0.03421
195,195,,2,2,37,0.052263,0.059806,3889.105829,0,0,9,0.000161,0,0,0,0.03098
196,196,,2,2,39,0.048643,0.054831,11765.937839,0,0,9,0.000175,0,0,0,0.01681
197,197,,1,1,36,0.05402,0.06142,0,0,0,9,0.000095,0,0,0,0.01168
198,198,,6,6,36,0.056198,0.066494,47195.622268,0,0,9,0.000394,0,0.133333,2,0.08444
199,199,,4,4,34,0.060525,0.071915,95295.758548,0,0,9,0.000286,0,0,0,0.045438
200,200,,2,2,36,0.057512,0.06811,32477.49134,0,0,10,0.000145,0,0,0,0.043205
201,201,,3,3,35,0.057104,0.066646,24437.547594,0,0,9,0.000228,0,0,0,0.040029
202,202,,2,2,35,0.057615,0.067213,2141.66843,0,0,0,0.000172,0,0,0,0.020546
203,203,,1,1,36,0.054931,0.063413,0,0,0,0,0.000088,0,0,0,0.016059
204,204,,2,2,38,0.050118,0.056948,260.12707,0,0,9,0.000159,0,0,0,0.022145
205,205,,7,7,32,0.065883,0.081331,279234.064805,0,0,0,0.000457,0,0,0,0.129886
206,206,,2,2,32,0.065744,0.078884,130941.541269,0,0,9,0.000149,0,0,0,0.032769
207,207,,5,5,31,0.07014,0.086769,809072.450783,0,0,5,0.000323,0,0.1,1,0.097576
208,208,,2,2,34,0.05841,0.068595,54.509524,0,0,0,0.000152,0,0,0,0.032885
209,209,,1,1,35,0.055036,0.062414,0,0,0,0,0.000098,0,0,0,0.010893
210,210,,4,4,37,0.052704,0.060259,14814,0,0,0,0.000382,0,0,0,0.027631
211,211,,1,1,38,0.050066,0.056031,0,0,0,0,0.000112,0,0,0,0.010518
212,212,,1,1,38,0.050066,0.056031,0,0,0,0,0.000112,0,0,0,0.010518
213,213,,1,1,38,0.050066,0.056031,0,0,0,0,0.000112,0,0,0,0.010518
214,214,,2,2,36,0.053139,0.061301,4957.629509,0,0,8,0.000159,0,0,0,0.017694
215,215,,3,3,35,0.056018,0.065547,9621.123954,0,0,8,0.00022,0,0.333333,1,0.028197
216,216,,2,2,39,0.04737,0.053442,2540.419841,0,0,0,0.000182,0,0,0,0.014591
217,217,,1,1,37,0.05003,0.056844,0,0,0,0,0.0001,0,0,0,0.010486
218,218,,3,3,36,0.052664,0.061381,45190.378968,0,0,0,0.000245,0,0,0,0.032039
219,219,,1,1,40,0.045108,0.049744,0,0,0,0,0.000104,0,0,0,0.008918
220,220,,1,1,39,0.045579,0.050867,0,0,0,0,0.000107,0,0,0,0.009031
221,221,,3,3,38,0.047755,0.054383,8312.264103,0,0,0,0.00027,0,0,0,0.023092
222,222,,2,2,37,0.05106,0.058347,524.212332,0,0,0,0.000174,0,0,0,0.016831
223,223,,2,2,38,0.049523,0.055862,30.833333,0,0,0,0.00017,0,0,0,0.016895
224,224,,3,3,39,0.047238,0.052984,4953.833333,0,0,0,0.00026,0,0,0,0.022176
225,225,,2,2,39,0.046506,0.052488,650.100611,0,0,0,0.000184,0,0,0,0.015829
226,226,,2,2,38,0.049533,0.055922,47.166667,0,0,0,0.000169,0,0,0,0.016956
227,227,,2,2,37,0.052094,0.059527,4954.166667,0,0,0,0.000167,0,0,0,0.017812
228,228,,2,2,38,0.049589,0.056273,7171.18431,0,0,0,0.000173,0,0,0,0.018507
229,229,,3,3,37,0.052087,0.059666,19349.765079,0,0,0,0.000239,0,0,0,0.0249
230,230,,2,2,38,0.049548,0.056054,72.166667,0,0,0,0.000167,0,0,0,0.018922
231,231,,2,2,37,0.050894,0.059008,615.584991,0,0,8,0.000166,0,0,0,0.017054
232,232,,2,2,36,0.054575,0.063823,17659.56054,0,0,0,0.000149,0,0,0,0.030525
233,233,,1,1,36,0.053744,0.060975,0,0,0,0,0.000111,0,0,0,0.007359
234,234,,2,2,35,0.056796,0.065925,4939,0,0,0,0.000191,0,0,0,0.018426
235,235,,1,1,33,0.062423,0.074396,0,0,0,5,0.000091,0,0,0,0.023683
236,236,,3,3,35,0.055344,0.064144,12816.715218,0,0,0,0.000267,0,0,0,0.022513
237,237,,1,1,36,0.052442,0.059383,0,0,0,0,0.000106,0,0,0,0.008819
238,238,,3,3,34,0.050999,0.061436,105874.534342,0.000018,0.000018,1,0.000232,0,0,0,0.034317
239,239,,3,3,36,0.049195,0.059623,41464.562637,0.000003,0.000003,2,0.000225,0,0,0,0.035486
240,240,,4,4,35,0.051723,0.064428,61136.629304,0.000019,0.000019,2,0.000279,0,0.166667,1,0.064089
241,241,,2,2,36,0.048763,0.057879,73678.273016,0,0,2,0.000157,0,0,0,0.031679
242,242,,6,6,35,0.051241,0.062333,90867.091414,0,0,2,0.000416,0,0.066667,1,0.076758
243,243,,2,2,38,0.04464,0.052168,0,0,0,2,0.000149,0,1,1,0.030158
244,244,,2,2,38,0.044665,0.052432,57.333333,0,0,2,0.000164,0,0,0,0.024057
245,245,,1,1,39,0.042774,0.049301,0,0,0,2,0.000099,0,0,0,0.010667
246,246,,5,5,37,0.046757,0.056737,20537.777852,0,0,2,0.000334,0,0.1,1,0.07467
247,247,,3,3,38,0.044685,0.052897,5254.226587,0,0,2,0.000242,0,0,0,0.033615
248,248,,1,1,38,0.044528,0.051065,0,0,0,2,0.000098,0,0,0,0.009358
249,249,,6,6,36,0.048879,0.059227,20136.790803,0,0,2,0.000317,0,0.4,6,0.152116
250,250,,2,2,37,0.046602,0.054694,4939,0,0,2,0.000158,0,0,0,0.034353
251,251,,5,5,36,0.046644,0.055847,22267.86076,0.000036,0.000036,1,0.000321,0,0.3,3,0.062819
252,252,,6,6,35,0.048912,0.059907,109853.866972,0.000127,0.000127,1,0.000402,0,0.066667,1,0.066687
253,253,,3,3,36,0.049577,0.061496,457765.246772,0.000829,0.000829,2,0.000196,0,0,0,0.044951
254,254,,3,3,35,0.05127,0.062347,24290.07293,0,0,2,0.0002,0,0,0,0.053849
255,255,,3,3,34,0.053987,0.066734,108907.875944,0.000001,0.000001,2,0.000188,0,0,0,0.05806
256,256,,1,1,40,0.041041,0.046785,0,0,0,2,0.000104,0,0,0,0.008365
257,257,,6,6,38,0.04471,0.053765,10565.277502,0,0,2,0.000383,0,0.133333,2,0.078912
258,258,,3,3,35,0.051389,0.063191,46014.045075,0.000001,0.000001,2,0.000189,0,0,0,0.054503
259,259,,2,2,39,0.042798,0.049888,4939,0,0,2,0.000173,0,0,0,0.024828
260,260,,5,5,39,0.042616,0.049364,21374.971429,0,0,2,0.000378,0,0.1,1,0.049979
261,261,,4,4,39,0.0427,0.049726,10074.893651,0,0,2,0.000291,0,0,0,0.046086
262,262,,3,3,38,0.044584,0.052076,14906.560317,0,0,2,0.000219,0,0,0,0.030097
263,263,,2,2,40,0.0395,0.046124,3841.440786,0.001819,0.001819,1,0.000146,0,0,0,0.021838
264,264,,2,2,40,0.040875,0.046233,0,0,0,2,0.000165,0,1,1,0.020775
265,265,,1,1,42,0.037896,0.042104,0,0,0,2,0.000108,0,0,0,0.011665
266,266,,2,2,41,0.039351,0.044408,2.5,0,0,2,0.000167,0,0,0,0.020098
267,267,,2,2,40,0.040953,0.046672,3360.980952,0,0,2,0.000163,0,0,0,0.02149
268,268,,1,1,38,0.044641,0.051798,0,0,0,2,0.000104,0,0,0,0.010248
269,269,,3,3,37,0.046726,0.055737,59147,0,0,2,0.000259,0,0,0,0.031174
270,270,,1,1,38,0.044638,0.051936,0,0,0,2,0.000105,0,0,0,0.018929
271,271,,1,1,38,0.044638,0.051936,0,0,0,2,0.000105,0,0,0,0.018929
272,272,,2,2,38,0.044638,0.052071,4939,0,0,2,0.000205,0,0,0,0.023778
273,273,,1,1,38,0.044638,0.051936,0,0,0,2,0.000105,0,0,0,0.018929
274,274,,7,7,37,0.046723,0.056196,34548,0,0,2,0.000613,0,0,0,0.065115
275,275,,1,1,38,0.044638,0.051936,0,0,0,2,0.000105,0,0,0,0.018929
276,276,,2,2,38,0.044448,0.051046,4939,0,0,2,0.000195,0,0,0,0.016968
277,277,,2,2,37,0.046682,0.055034,1287.388654,0,0,2,0.000159,0,0,0,0.022803
278,278,,3,3,37,0.046729,0.055832,4893.571429,0,0,2,0.000211,0,0.333333,1,0.048121
279,279,,5,5,36,0.04876,0.058198,24.201376,0,0,2,0.000239,0,0.7,7,0.153212
280,280,,6,6,36,0.048878,0.059194,10379.16837,0,0,2,0.000294,0,0.466667,7,0.168994
281,281,,2,2,40,0.040875,0.046233,0,0,0,2,0.000165,0,1,1,0.020775
282,282,,5,5,35,0.051231,0.062194,19015.526257,0,0,2,0.000246,0,0.6,6,0.153023
283,283,,1,1,35,0.051217,0.061377,0,0,0,2,0.000079,0,0,0,0.031836
284,284,,8,8,34,0.053981,0.067499,179378.23579,0.000001,0.000001,2,0.000459,0,0.035714,1,0.151686
